tech_node_id,name,official_name,short_name,alias,name_en,description,classification_code,classification_name,maturity_level,technology_status,application_scenario,key_function,technical_route,parent_technology,depends_on,supersedes,improves,cooperates_with,related_policy,owned_by_enterprise,strategic_importance_level,bottleneck_level,source_reference,maintainer,updated_at
tc_001,具身智能,具身智能,具身智能,embodied ai|physical ai|embodied intelligence,embodied intelligence,具有物理载体和环境交互能力的智能系统,EI.00,技术域,early_application,active,机器人|智能终端|自动驾驶|工业自动化,连接感知决策控制和执行,多模态感知|世界模型|规划控制|具身执行,,,,,tc_002|tc_010|tc_020|tc_024|tc_025,数字消费政策|智能网联汽车试点,unknown,high,high,src/config/object_family_registry.yaml|v2.6实施方案.md|result/20260427_094827/signals.csv,project_team,2026-04-28
tc_002,人形机器人,人形机器人,人形机器人,humanoid robot|humanoid robots|仿人机器人|双足机器人,humanoid robot,具有人类形态并面向通用任务执行的机器人,EI.01,本体与平台,early_application,active,服务机器人|工业协作|家庭场景|人机交互,承载具身智能算法和执行机构,本体设计|运动控制|多模态交互|任务执行,tc_001,tc_005|tc_024|tc_025,,tc_003,tc_021|tc_037|tc_038,智能机器人产品供给,unknown,high,high,src/config/object_family_registry.yaml|result/20260427_094827/signals.csv,project_team,2026-04-28
tc_003,机器人平台,机器人平台,机器人平台,robot platform|robot system|autonomous robot,robot platform,面向机器人软硬件集成和任务运行的平台节点,EI.01.01,本体与平台,early_application,active,机器人研发|具身智能实验|产业落地,集成算力传感执行和开发生态,机器人操作系统|边缘算力|模块化硬件|开发工具链,tc_001,tc_005|tc_033|tc_041,,tc_002,tc_020|tc_024|tc_025,,unknown,medium,medium,result/20260427_094827/signals.csv|v2.6实施方案.md,project_team,2026-04-28
tc_004,机械臂,机械臂,机械臂,robotic arm|robot arm|manipulator,robotic arm,用于抓取操作装配和交互任务的机器人执行部件,EI.01.02,本体与平台,application,active,工业操作|服务操作|实验室自动化,执行精细操作任务,运动学建模|力控|抓取规划|末端执行器,tc_001,tc_024|tc_038,,tc_002,tc_038,,unknown,medium,medium,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_005,具身智能硬件,具身智能硬件,硬件,embodied intelligence hardware|robot hardware,embodied intelligence hardware,支撑具身系统感知计算和执行的硬件集合,EI.02,感知与硬件,application,active,机器人|自动驾驶|智能装备,提供感知执行和计算载体,传感器|执行器|计算平台|通讯总线,tc_001,,,,tc_006|tc_007|tc_008|tc_009|tc_041,智能终端产品供给,unknown,high,medium,src/config/object_family_canonicalization.yaml,project_team,2026-04-28
tc_006,激光雷达,激光雷达,LiDAR,lidar|lidars|li-dar|lidar_full,lidar,通过激光测距获取环境几何信息的传感器,EI.02.01,感知与硬件,application,active,自动驾驶|机器人导航|三维建图,提供高精度距离和点云信息,激光测距|点云处理|目标检测|建图,tc_005,tc_027,,tc_029,tc_009|tc_037,,unknown,high,medium,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_007,视觉摄像头,视觉摄像头,Camera,camera|摄像头|vision camera,camera,用于获取视觉图像和视频数据的感知设备,EI.02.02,感知与硬件,application,active,机器人视觉|遥操作|环境感知,提供视觉观测输入,RGB图像|视频流|视觉特征提取,tc_005,tc_025,,tc_009,tc_028|tc_039,,unknown,medium,medium,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_008,惯性测量单元,惯性测量单元,IMU,imu|inertial measurement unit|惯性测量单元,imu,用于获取姿态角速度和加速度的运动传感器,EI.02.03,感知与硬件,application,active,机器人姿态估计|导航定位|运动控制,提供运动状态估计,惯性测量|传感融合|姿态解算,tc_005,tc_024|tc_037,,tc_027,tc_006|tc_007,,unknown,medium,medium,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_009,深度视觉感知,深度视觉感知,RGB-D,rgb-d camera|depth camera|深度摄像头|depth sensor,depth perception,融合视觉和深度信息的环境感知节点,EI.02.04,感知与硬件,early_application,active,机器人抓取|室内导航|三维理解,提供三维视觉输入,深度估计|RGB-D融合|点云生成|视觉定位,tc_005,tc_007|tc_030,,tc_025,tc_006|tc_027,,unknown,medium,medium,result/20260427_094827/signals.csv,project_team,2026-04-28
tc_010,世界模型,世界模型,世界模型,world models|世界模型,world model,对环境状态动态和交互结果进行内部建模的模型,EI.03,模型与表征,research_to_early_application,active,具身智能|自动驾驶|机器人学习,预测环境状态和动作后果,状态表征|动态预测|模型学习|生成仿真,tc_001,tc_031|tc_019,,tc_011,tc_017|tc_022|tc_020,,unknown,high,high,src/config/object_family_registry.yaml|result/20260427_094827/signals.csv,project_team,2026-04-28
tc_011,生成式世界模型,生成式世界模型,生成式世界模型,generative world models|generative model|生成式模型|生成模型,generative world model,面向环境状态预测和生成的世界模型,EI.03.01,模型与表征,research_to_early_application,active,自动驾驶仿真|具身智能训练|视频预测,生成未来状态和交互场景,生成建模|序列预测|表征学习|仿真生成,tc_010,tc_031|tc_019,,tc_013,tc_012|tc_015,,unknown,high,high,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_012,视频世界模型,视频世界模型,视频世界模型,video world models|video-world-model,video world model,基于视频序列理解和预测环境动态的世界模型,EI.03.02,模型与表征,research_to_early_application,active,视频理解|自动驾驶|机器人感知,从视频中学习动态世界表征,视频预测|时序建模|自监督学习,tc_010,tc_007|tc_031,,tc_014|tc_015,tc_011|tc_025,,unknown,high,medium,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_013,交互式世界模型,交互式世界模型,交互式世界模型,interactive world models|交互式世界模型,interactive world model,支持动作交互和环境反馈预测的世界模型,EI.03.03,模型与表征,research,active,机器人交互|仿真训练|策略学习,预测动作导致的环境反馈,动作条件建模|交互仿真|反馈预测,tc_010,tc_011|tc_019,,tc_010,tc_017|tc_021,,unknown,medium,high,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_014,V-JEPA,V-JEPA,V-JEPA,v-jepa 2|v-jepa 2.1|vjepa|video jepa,v-jepa,视频联合嵌入预测架构模型节点,EI.03.04,模型与表征,research,active,视频表征|具身感知|自监督学习,学习视频预测表征,联合嵌入预测|自监督表示|视频预训练,tc_012,tc_016|tc_007,,tc_012,tc_025,,unknown,medium,medium,src/config/object_family_registry.yaml,project_team,2026-04-28
