asset_id,asset_name,asset_category,asset_no,legal_status,application_date,publication_date,grant_date,right_holder_name,inventor_or_author,patent_no,patent_type,patent_country,belongs_to_tech_node_id,related_product,applied_in,related_policy,source_reference
ta_001,双足机器人、人形机器人，机器人,patent,unknown,unknown,2023-10-27,,,Unknown,,unknown,unknown,CN,tc_002,人形机器人本体,人形机器人,智能机器人产品供给,result/20260427_094827/signals.csv
ta_002,一种人形机器人本体设计方法、设备及介质,patent,unknown,unknown,2026-01-27,,,Unknown,,unknown,unknown,CN,tc_002,人形机器人本体设计,人形机器人,智能机器人产品供给,result/20260427_094827/signals.csv
ta_003,人形机器人本体设计方法、设备、介质及产品,patent,unknown,unknown,2025-08-05,,,Unknown,,unknown,unknown,CN,tc_002,人形机器人本体设计,人形机器人,智能机器人产品供给,result/20260427_094827/signals.csv
ta_004,一种人形机器人本体动态应用数据传输线缆,patent,unknown,unknown,2025-08-26,,,Unknown,,unknown,unknown,CN,tc_002,数据传输线缆,人形机器人,智能机器人产品供给,result/20260427_094827/signals.csv
ta_005,足、机器人、双足机器人和人形机器人,patent,unknown,unknown,2025-05-13,,,Unknown,,unknown,unknown,CN,tc_002,双足机器人结构,人形机器人,智能机器人产品供给,result/20260427_094827/signals.csv
ta_006,Enhanced Visual Feedback with Decoupled Viewpoint Control in Immersive Humanoid Robot Teleoperation using SLAM,research_paper,unknown,published,2022,,,Unknown,,unknown,paper,unknown,tc_039,沉浸式机器人遥操作,人形机器人遥操作,,result/20260427_094827/signals.csv
ta_007,Learning 3D Bipedal Walking with Planned Footsteps and Fourier Series Periodic Gait Planning,research_paper,unknown,published,2023,,,Unknown,,unknown,paper,unknown,tc_022,三维机器人规划,双足机器人运动规划,,result/20260427_094827/signals.csv
ta_008,V-JEPA,model_artifact,unknown,public,2024,,,Meta AI,,unknown,model,US,tc_014,视频自监督模型,视频世界模型,,src/config/object_family_registry.yaml
ta_009,GAIA-1,model_artifact,unknown,public,2023,,,Unknown,,unknown,model,unknown,tc_015,自动驾驶生成式世界模型,自动驾驶场景生成,,src/config/object_family_registry.yaml
ta_010,Dreamer,model_artifact,unknown,public,2019,,,Unknown,,unknown,model,unknown,tc_018,基于世界模型的强化学习算法,机器人策略学习,,src/config/object_family_registry.yaml
ta_011,ROS Robot Operating System,software_framework,unknown,public,,,,Open Robotics,,unknown,software,unknown,tc_033,机器人操作系统,机器人软件开发,,src/config/object_family_registry.yaml
ta_012,Python,software_tool,unknown,public,,,,Python Software Foundation,,unknown,software,unknown,tc_034,Python生态,机器学习和机器人开发,,src/config/object_family_registry.yaml
ta_013,NVIDIA Jetson Thor,product_platform,unknown,public,2025-09-01,,,NVIDIA,,unknown,hardware,US,tc_041,机器人AI计算平台,人形机器人实时推理,,result/20260427_094827/signals.csv
ta_014,Omniverse Cosmos Physical AI cooperation,technical_achievement,unknown,announced,2025-09-25,,,Alibaba|NVIDIA,,unknown,cooperation,unknown,tc_040,Physical AI数据合成和仿真闭环,具身智能训练,,result/20260427_094827/signals.csv
