term_id,term_name,official_name,short_name,alias,name_en,semantic_tag,source_text,ipc_code,ipc_name,belongs_to_tech_node_id,mapping_confidence,source_reference,maintainer,updated_at
tt_001,具身智能,具身智能,具身智能,embodied intelligence|embodied ai,embodied intelligence,domain,object_family_registry of_026,,,tc_001,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_002,embodied intelligence,具身智能,embodied intelligence,具身智能|embodied ai,embodied intelligence,domain,object_family_registry of_026,,,tc_001,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_003,physical ai,具身智能,physical ai,物理AI|physical artificial intelligence,physical ai,domain,result signal embodied intelligence news and report,,,tc_001,0.85,result/20260427_094827/signals.csv,project_team,2026-04-28
tt_004,人形机器人,人形机器人,人形机器人,humanoid robot|仿人机器人|双足机器人,humanoid robot,technology,object_family_registry of_002,,,tc_002,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_005,humanoid robot,人形机器人,humanoid robot,humanoid robots|humanoid-robot,humanoid robot,technology,object_family_registry of_002,,,tc_002,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_006,humanoid robots,人形机器人,humanoid robots,humanoid robot|humanoid-robot,humanoid robot,technology,object_family_registry of_002,,,tc_002,0.98,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_007,仿人机器人,人形机器人,仿人机器人,人形机器人|humanoid robot,humanoid robot,technology,manual alias from implementation plan,,,tc_002,0.90,v2.6实施方案.md,project_team,2026-04-28
tt_008,双足机器人,人形机器人,双足机器人,bipedal robot|人形机器人,bipedal robot,technology,patent evidence in signals,,,tc_002,0.82,result/20260427_094827/signals.csv,project_team,2026-04-28
tt_009,机器人平台,机器人平台,机器人平台,robot platform|robot system,robot platform,platform,result signal platform generalization,,,tc_003,0.90,result/20260427_094827/signals.csv,project_team,2026-04-28
tt_010,robot platform,机器人平台,robot platform,robot system|autonomous robot,robot platform,platform,manual node derived from pipeline signals,,,tc_003,0.90,v2.6实施方案.md,project_team,2026-04-28
tt_011,机械臂,机械臂,机械臂,robotic arm|robot arm,robotic arm,component,object_family_registry of_021,,,tc_004,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_012,robotic arm,机械臂,robotic arm,robot arm|manipulator,robotic arm,component,object_family_registry of_021,,,tc_004,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_013,manipulator,机械臂,manipulator,robotic arm|robot arm,manipulator,component,manual alias,,,tc_004,0.82,v2.6实施方案.md,project_team,2026-04-28
tt_014,具身智能硬件,具身智能硬件,硬件,embodied intelligence hardware|robot hardware,embodied intelligence hardware,component,canonicalization hierarchy,,,tc_005,0.95,src/config/object_family_canonicalization.yaml,project_team,2026-04-28
tt_015,robot hardware,具身智能硬件,robot hardware,embodied intelligence hardware,robot hardware,component,manual alias,,,tc_005,0.85,v2.6实施方案.md,project_team,2026-04-28
tt_016,激光雷达,激光雷达,LiDAR,lidar|lidar_full, lidar,component,object_family_registry of_010 and of_024,,,tc_006,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_017,lidar,激光雷达,LiDAR,lidars|li-dar|激光雷达,lidar,component,object_family_registry of_010,,,tc_006,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_018,lidars,激光雷达,LiDAR,lidar,lidar,component,object_family_registry of_010,,,tc_006,0.96,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_019,li-dar,激光雷达,LiDAR,lidar,lidar,component,object_family_registry of_010,,,tc_006,0.95,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_020,摄像头,视觉摄像头,摄像头,camera|vision camera,camera,component,object_family_registry of_015,,,tc_007,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_021,camera,视觉摄像头,Camera,摄像头|vision camera,camera,component,object_family_registry of_015,,,tc_007,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_022,vision camera,视觉摄像头,vision camera,camera|摄像头,vision camera,component,manual alias,,,tc_007,0.85,v2.6实施方案.md,project_team,2026-04-28
tt_023,imu,惯性测量单元,IMU,inertial measurement unit|惯性测量单元,imu,component,object_family_registry of_017,,,tc_008,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_024,inertial measurement unit,惯性测量单元,IMU,imu|惯性测量单元,inertial measurement unit,component,object_family_registry of_017,,,tc_008,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_025,惯性测量单元,惯性测量单元,IMU,imu|inertial measurement unit,imu,component,object_family_registry of_017,,,tc_008,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_026,深度摄像头,深度视觉感知,深度摄像头,depth camera|rgb-d camera,depth camera,component,manual sensor term,,,tc_009,0.85,v2.6实施方案.md,project_team,2026-04-28
tt_027,rgb-d camera,深度视觉感知,RGB-D,depth camera|深度摄像头,rgb-d camera,component,manual sensor term,,,tc_009,0.86,v2.6实施方案.md,project_team,2026-04-28
tt_028,depth sensor,深度视觉感知,depth sensor,depth camera|深度传感器,depth sensor,component,manual sensor term,,,tc_009,0.84,v2.6实施方案.md,project_team,2026-04-28
tt_029,世界模型,世界模型,世界模型,world model|world models,world model,model,object_family_registry of_025,,,tc_010,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_030,world model,世界模型,world model,world models|世界模型,world model,model,object_family_registry of_025,,,tc_010,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_031,world models,世界模型,world models,world model|世界模型,world model,model,object_family_registry of_025,,,tc_010,0.98,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_032,生成式世界模型,生成式世界模型,生成式世界模型,generative world model|generative model,generative world model,model,object_family_registry of_001,,,tc_011,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_033,generative world model,生成式世界模型,generative world model,generative world models|generative model,generative world model,model,object_family_registry of_001,,,tc_011,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_034,generative world models,生成式世界模型,generative world models,generative world model|generative models,generative world model,model,object_family_registry of_001,,,tc_011,0.98,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_035,generative model,生成式模型,generative model,generative models|生成式模型,generative model,model,object_family_registry of_001,,,tc_011,0.88,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_036,生成式模型,生成式模型,生成式模型,generative model|生成模型,generative model,model,object_family_registry of_001,,,tc_011,0.88,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_037,视频世界模型,视频世界模型,视频世界模型,video world model|video world models,video world model,model,object_family_registry of_005,,,tc_012,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_038,video world model,视频世界模型,video world model,video world models|video-world-model,video world model,model,object_family_registry of_005,,,tc_012,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_039,video world models,视频世界模型,video world models,video world model|video-world-model,video world model,model,object_family_registry of_005,,,tc_012,0.98,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_040,交互式世界模型,交互式世界模型,交互式世界模型,interactive world model,interactive world model,model,object_family_registry of_008,,,tc_013,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_041,interactive world model,交互式世界模型,interactive world model,interactive world models|交互式世界模型,interactive world model,model,object_family_registry of_008,,,tc_013,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_042,v-jepa,V-JEPA,V-JEPA,v-jepa 2|vjepa|video jepa,v-jepa,model,object_family_registry of_003,,,tc_014,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_043,v-jepa 2,V-JEPA,V-JEPA2,v-jepa|v-jepa 2.1|v-jepa 2 1,v-jepa,model,object_family_registry of_003,,,tc_014,0.98,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_044,vjepa,V-JEPA,VJEPA,v-jepa|video jepa,v-jepa,model,object_family_registry of_003,,,tc_014,0.96,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_045,video jepa,V-JEPA,video jepa,v-jepa|vjepa,v-jepa,model,object_family_registry of_003,,,tc_014,0.96,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_046,gaia-1,GAIA-1,GAIA-1,gaia 1|gaia1,gaia-1,model,object_family_registry of_013,,,tc_015,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_047,gaia1,GAIA-1,GAIA1,gaia-1|gaia 1,gaia-1,model,object_family_registry of_013,,,tc_015,0.95,src/config/object_family_registry.yaml,project_team,2026-04-28
tt_048,jepa,联合嵌入预测架构,JEPA,joint embedding predictive architecture,jepa,method,object_family_registry of_007,,,tc_016,1.00,src/config/object_family_registry.yaml,project_team,2026-04-28
